Day,Problem,Part One,Part Two
01,The Tyranny of the Rocket Equation,44985,39687
02,1202 Program Alarm,24370,21508
03,Crossed Wires,14074,11301
04,Secure Container,17633,15506
05,Sunny with a Chance of Asteroids,1910,1776
06,Universal Orbit Map,1700,1139
07,Amplification Circuit,755,248
08,Space Image Format,272,404
09,Sensor Boost,2557,2520
10,Monitoring Station,970,1105
11,Space Police,1031,1226
12,The N-Body Problem,6753,4698
13,Care Package,327,1084
14,Space Stoichiometry,3282,2906
15,Oxygen System,807,581
16,Flawed Frequency Transmission,333,297
17,Set and Forget,5022,3679
18,Many-Worlds Interpretation,92,136
19,Tractor Beam,861,432
20,Many-Worlds Interpretation,768,421
21,Springdroid Adventure,2790,2469
22,Slam Shuffle,3558,1503
23,Category Six,3710,3563
24,Planet of Discord,4401,3261
25,Cryostasis,3175,2179